unit,split,batch_idx,column,grad_mean_abs,grad_mean_abs_scaled,relative_raw_score,relative_scaled_score
subset_e2e,train,16,volume,4.0140928775356244e-11,0.0010888782480769632,1.3432254639022258e-14,2.0442976100313303e-08
subset_e2e,train,17,open,4859.6962890625,70605.1847310355,1.0,0.9965446468158459
subset_e2e,train,17,high,34005.94140625,506101.6824019216,6.997544575529472,7.143284508969396
subset_e2e,train,17,low,24286.5625,346765.4124894738,4.997547388848286,4.894360333928493
subset_e2e,train,17,close,4859.6962890625,70849.99649201147,1.0,1.0
subset_e2e,train,17,volume,3.151070029905334e-11,0.0010066265889170228,6.4840883925139635e-15,1.4207856580917724e-08
subset_e2e,train,18,open,8856.4736328125,194792.925240051,0.20009816229764643,0.2045427801976391
subset_e2e,train,18,high,61973.5625,1402596.7758965492,1.4001956626782488,1.4728001218965114
subset_e2e,train,18,low,44260.64453125,952333.4192086011,1.0,1.0
subset_e2e,train,18,close,58526.55078125,1288912.7438343018,1.3223158270984425,1.3534259302854263
subset_e2e,train,18,volume,3.782143348507461e-11,0.0026113932804071593,8.545161030895286e-16,2.742099802165143e-09
subset_e2e,train,19,open,4093.276611328125,85078.19161587115,1.0,0.997997549069664
subset_e2e,train,19,high,28642.87890625,612912.0346161202,6.997542952992954,7.1896768928041075
subset_e2e,train,19,low,20456.337890625,415814.6078277938,4.997545935208037,4.877653739434769
subset_e2e,train,19,close,4093.276611328125,85248.89835168561,1.0,1.0
subset_e2e,train,19,volume,3.637900397590599e-11,0.001182730821944103,8.887501977078035e-15,1.3873854616453434e-08
subset_e2e,test,0,open,2619.910888671875,126271.60156345926,0.9999999068133946,0.996280531410781
subset_e2e,test,0,high,18332.94140625,902857.9910659343,6.9975432283343935,7.123532353991607
subset_e2e,test,0,low,13093.126953125,619973.5761666223,4.997546210305767,4.891579708154005
subset_e2e,test,0,close,2619.9111328125,126743.01823870093,1.0,1.0
subset_e2e,test,0,volume,3.414334787121831e-11,0.0017777884017106116,1.3032254202670261e-14,1.4026716630358458e-08
subset_e2e,test,1,open,9492.400390625,151357.38954536244,1.0,0.9970658121464989
subset_e2e,test,1,high,66423.515625,1093689.1669254005,6.997546762840092,7.204670222787377
subset_e2e,test,1,low,47438.73828125,738192.1191508509,4.997549231920519,4.862835749295862
subset_e2e,test,1,close,9492.400390625,151802.80749925412,1.0,1.0
subset_e2e,test,1,volume,2.886844582827841e-11,0.0008449649174339033,3.0412166196434167e-15,5.566200858558265e-09
subset_e2e,test,2,open,27276.337890625,789828.1900325976,1.0,0.9983371309640063
subset_e2e,test,2,high,190867.609375,5647044.488382757,6.997552609164666,7.137823471108914
subset_e2e,test,2,low,136314.96875,3887843.111241281,4.99755389805653,4.914205628890766
subset_e2e,test,2,close,27276.337890625,791143.758491613,1.0,1.0
subset_e2e,test,2,volume,3.371821571951372e-11,0.0019418331222696983,1.2361709205509887e-15,2.454463049764784e-09
subset_e2e,test,3,open,4291.13525390625,221399.0497519914,1.0,0.9871843044241722
subset_e2e,test,3,high,30027.412109375,1603660.2979687974,6.997545016098209,7.150474573203304
subset_e2e,test,3,low,21445.154296875,1085665.9264923558,4.99754797459561,4.840817355277473
subset_e2e,test,3,close,4291.13525390625,224273.26767632738,1.0,1.0
