split,batch_idx,group_name,factor_name,loss,grad_is_none,grad_finite_rate,grad_mean_abs,grad_max_abs,open_grad_mean_abs,open_grad_mean_abs_scaled,open_relative_scaled_score,high_grad_mean_abs,high_grad_mean_abs_scaled,high_relative_scaled_score,low_grad_mean_abs,low_grad_mean_abs_scaled,low_relative_scaled_score,close_grad_mean_abs,close_grad_mean_abs_scaled,close_relative_scaled_score,volume_grad_mean_abs,volume_grad_mean_abs_scaled,volume_relative_scaled_score
test,0,greater_relu_close,SUMP5,0.16684764623641968,False,1.0,0.0010051156859844923,0.10225358605384827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050255777314305305,0.08032827953375143,8.032827953375144e+18,0.0,0.0,0.0
test,0,greater_relu_close,SUMN5,0.1593732386827469,False,1.0,0.0009870849316939712,0.07940823584794998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004935424774885178,0.07888728463104044,7.888728463104045e+18,0.0,0.0,0.0
test,0,greater_relu_close,SUMD5,0.15244175493717194,False,1.0,0.0008118978003039956,0.04641802981495857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004059488885104656,0.06488642208982842,6.488642208982842e+18,0.0,0.0,0.0
test,0,greater_relu_volume,VSUMP5,0.14304617047309875,False,1.0,4.796571126397531e-11,1.2955366557321213e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.398285459115357e-10,0.011688074883052568,1.168807488305257e+18
test,0,greater_relu_volume,VSUMN5,0.15945032238960266,False,1.0,3.998472733468539e-11,4.249289808910817e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9992363320398e-10,0.009743303854421015,9.743303854421015e+17
test,0,greater_relu_volume,VSUMD5,0.10499301552772522,False,1.0,1.029620486092675e-10,2.5355518573633162e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.148103054963826e-10,0.02508934613408531,2.5089346134085315e+18
test,0,rolling_maxmin,MAX5,0.5444920063018799,False,1.0,8.122673898469657e-05,0.0019014349672943354,0.0,0.0,0.0,0.00019888477982021868,0.0032403927757098105,3.2403927757098106e+17,0.0,0.0,0.0,0.00020724892965517938,0.0033126440071345187,3.312644007134519e+17,0.0,0.0,0.0
test,0,rolling_maxmin,MIN5,0.46662911772727966,False,1.0,7.24249766790308e-05,0.0009817351819947362,0.0,0.0,0.0,0.0,0.0,0.0,0.00018426033784635365,0.002886131370616024,2.886131370616024e+17,0.00017786458192858845,0.002842967837699037,2.842967837699037e+17,0.0,0.0,0.0
test,0,rolling_maxmin,RSV5,0.15585730969905853,False,1.0,0.0006485156482085586,0.018229184672236443,0.0,0.0,0.0,0.0010224201250821352,0.016658101188292473,1.7758628990845227,0.0005988689954392612,0.009380285604750183,1.0,0.0016212891787290573,0.025914507209686022,2.7626565225863593,0.0,0.0,0.0
test,0,quantile,QTLU5,0.5151268243789673,False,1.0,2.9230621294118464e-05,0.002174605382606387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014615307736676186,0.0023360946503743346,2.3360946503743347e+17,0.0,0.0,0.0
